t 	 u 	 du
   0.00000 	    3.10000 	    0.00000
   0.00100 	    3.10000 	   -0.00041
   0.00200 	    3.10000 	   -0.00082
   0.00300 	    3.10000 	   -0.00122
   0.00400 	    3.10000 	   -0.00163
   0.00500 	    3.09999 	   -0.00204
   0.00600 	    3.09999 	   -0.00245
   0.00700 	    3.09999 	   -0.00286
   0.00800 	    3.09999 	   -0.00326
   0.00900 	    3.09998 	   -0.00367
   0.01000 	    3.09998 	   -0.00408
   0.01100 	    3.09998 	   -0.00449
   0.01200 	    3.09997 	   -0.00490
   0.01300 	    3.09997 	   -0.00530
   0.01400 	    3.09996 	   -0.00571
   0.01500 	    3.09995 	   -0.00612
   0.01600 	    3.09995 	   -0.00653
   0.01700 	    3.09994 	   -0.00694
   0.01800 	    3.09993 	   -0.00735
   0.01900 	    3.09993 	   -0.00775
   0.02000 	    3.09992 	   -0.00816
   0.02100 	    3.09991 	   -0.00857
   0.02200 	    3.09990 	   -0.00898
   0.02300 	    3.09989 	   -0.00939
   0.02400 	    3.09988 	   -0.00980
   0.02500 	    3.09987 	   -0.01021
   0.02600 	    3.09986 	   -0.01062
   0.02700 	    3.09985 	   -0.01103
   0.02800 	    3.09984 	   -0.01144
   0.02900 	    3.09983 	   -0.01185
   0.03000 	    3.09982 	   -0.01226
   0.03100 	    3.09980 	   -0.01266
   0.03200 	    3.09979 	   -0.01307
   0.03300 	    3.09978 	   -0.01348
   0.03400 	    3.09976 	   -0.01390
   0.03500 	    3.09975 	   -0.01431
   0.03600 	    3.09974 	   -0.01472
   0.03700 	    3.09972 	   -0.01513
   0.03800 	    3.09971 	   -0.01554
   0.03900 	    3.09969 	   -0.01595
   0.04000 	    3.09967 	   -0.01636
   0.04100 	    3.09966 	   -0.01677
   0.04200 	    3.09964 	   -0.01718
   0.04300 	    3.09962 	   -0.01759
   0.04400 	    3.09960 	   -0.01800
   0.04500 	    3.09959 	   -0.01842
   0.04600 	    3.09957 	   -0.01883
   0.04700 	    3.09955 	   -0.01924
   0.04800 	    3.09953 	   -0.01965
   0.04900 	    3.09951 	   -0.02007
   0.05000 	    3.09949 	   -0.02048
   0.05100 	    3.09947 	   -0.02089
   0.05200 	    3.09945 	   -0.02130
   0.05300 	    3.09943 	   -0.02172
   0.05400 	    3.09940 	   -0.02213
   0.05500 	    3.09938 	   -0.02255
   0.05600 	    3.09936 	   -0.02296
   0.05700 	    3.09934 	   -0.02337
   0.05800 	    3.09931 	   -0.02379
   0.05900 	    3.09929 	   -0.02420
   0.06000 	    3.09926 	   -0.02462
   0.06100 	    3.09924 	   -0.02503
   0.06200 	    3.09921 	   -0.02545
   0.06300 	    3.09919 	   -0.02587
   0.06400 	    3.09916 	   -0.02628
   0.06500 	    3.09914 	   -0.02670
   0.06600 	    3.09911 	   -0.02711
   0.06700 	    3.09908 	   -0.02753
   0.06800 	    3.09905 	   -0.02795
   0.06900 	    3.09903 	   -0.02836
   0.07000 	    3.09900 	   -0.02878
   0.07100 	    3.09897 	   -0.02920
   0.07200 	    3.09894 	   -0.02962
   0.07300 	    3.09891 	   -0.03004
   0.07400 	    3.09888 	   -0.03046
   0.07500 	    3.09885 	   -0.03087
   0.07600 	    3.09882 	   -0.03129
   0.07700 	    3.09878 	   -0.03171
   0.07800 	    3.09875 	   -0.03213
   0.07900 	    3.09872 	   -0.03255
   0.08000 	    3.09869 	   -0.03297
   0.08100 	    3.09865 	   -0.03340
   0.08200 	    3.09862 	   -0.03382
   0.08300 	    3.09859 	   -0.03424
   0.08400 	    3.09855 	   -0.03466
   0.08500 	    3.09852 	   -0.03508
   0.08600 	    3.09848 	   -0.03551
   0.08700 	    3.09845 	   -0.03593
   0.08800 	    3.09841 	   -0.03635
   0.08900 	    3.09837 	   -0.03678
   0.09000 	    3.09834 	   -0.03720
   0.09100 	    3.09830 	   -0.03762
   0.09200 	    3.09826 	   -0.03805
   0.09300 	    3.09822 	   -0.03847
   0.09400 	    3.09818 	   -0.03890
   0.09500 	    3.09815 	   -0.03932
   0.09600 	    3.09811 	   -0.03975
   0.09700 	    3.09807 	   -0.04018
   0.09800 	    3.09803 	   -0.04060
   0.09900 	    3.09799 	   -0.04103
   0.10000 	    3.09794 	   -0.04146
   0.10100 	    3.09790 	   -0.04189
   0.10200 	    3.09786 	   -0.04232
   0.10300 	    3.09782 	   -0.04275
   0.10400 	    3.09777 	   -0.04318
   0.10500 	    3.09773 	   -0.04361
   0.10600 	    3.09769 	   -0.04404
   0.10700 	    3.09764 	   -0.04447
   0.10800 	    3.09760 	   -0.04490
   0.10900 	    3.09755 	   -0.04533
   0.11000 	    3.09751 	   -0.04576
   0.11100 	    3.09746 	   -0.04619
   0.11200 	    3.09742 	   -0.04663
   0.11300 	    3.09737 	   -0.04706
   0.11400 	    3.09732 	   -0.04749
   0.11500 	    3.09727 	   -0.04793
   0.11600 	    3.09723 	   -0.04836
   0.11700 	    3.09718 	   -0.04880
   0.11800 	    3.09713 	   -0.04924
   0.11900 	    3.09708 	   -0.04967
   0.12000 	    3.09703 	   -0.05011
   0.12100 	    3.09698 	   -0.05055
   0.12200 	    3.09693 	   -0.05098
   0.12300 	    3.09688 	   -0.05142
   0.12400 	    3.09682 	   -0.05186
   0.12500 	    3.09677 	   -0.05230
   0.12600 	    3.09672 	   -0.05274
   0.12700 	    3.09667 	   -0.05318
   0.12800 	    3.09661 	   -0.05362
   0.12900 	    3.09656 	   -0.05406
   0.13000 	    3.09651 	   -0.05450
