N 	 x 	 y(x) 	 yi
0 	 0.000000 	 0.333333 	 0.333333
1 	 0.125000 	 0.219900 	 0.350748
2 	 0.250000 	 0.050191 	 0.122732
3 	 0.375000 	 -0.041452 	 -0.035095
4 	 0.500000 	 -0.051041 	 -0.064307
5 	 0.625000 	 -0.024864 	 -0.031173
6 	 0.750000 	 -0.000763 	 0.000654
7 	 0.875000 	 0.008547 	 0.010827
8 	 1.000000 	 0.006998 	 0.006998
