N 	 x 	 y(x) 	 yi
0 	 0.000000 	 0.333333 	 0.333333
1 	 0.100000 	 0.254321 	 0.323796
2 	 0.200000 	 0.112569 	 0.171701
3 	 0.300000 	 0.001847 	 0.028026
4 	 0.400000 	 -0.048675 	 -0.046361
5 	 0.500000 	 -0.051041 	 -0.057048
6 	 0.600000 	 -0.030780 	 -0.035549
7 	 0.700000 	 -0.008817 	 -0.010084
8 	 0.800000 	 0.004735 	 0.005439
9 	 0.900000 	 0.008846 	 0.009606
10 	 1.000000 	 0.006998 	 0.006998
