  1  0.250000      1.300114E-03    1.390252E-02
  2  0.500000      8.622204E-03    4.736286E-02
  3  0.750000      2.625592E-02    9.562677E-02
  4  1.000000      5.684741E-02    1.346668E-01
  5  1.250000      8.479680E-02    8.581261E-02
  6  1.500000      9.831123E-02    2.013321E-02
  7  1.749999      9.387317E-02   -5.694825E-02
  8  1.999999      6.925141E-02   -1.405797E-01
  9  2.249999      3.631685E-02   -1.226176E-01
 10  2.499999      8.040071E-03   -1.034809E-01
 11  2.749999     -1.540151E-02   -8.407399E-02
 12  2.999998     -3.403736E-02   -6.514709E-02
 13  3.249998     -4.806521E-02   -4.729707E-02
 14  3.499998     -5.781350E-02   -3.097372E-02
 15  3.749998     -6.370573E-02   -1.649011E-02
 16  3.999997     -6.622798E-02   -4.036088E-03
 17  4.249998     -6.590001E-02    6.306238E-03
 18  4.499999     -6.325030E-02    1.454595E-02
 19  4.750000     -5.879546E-02    2.076647E-02
 20  5.000001     -5.302367E-02    2.510904E-02
