           1  0.20000000      3.78666678E-03  3.68068293E-02
           2  0.40000001      1.43011622E-02  6.73026815E-02
           3  0.60000002      3.03005278E-02  9.17007700E-02
           4  0.80000001      5.05961031E-02  0.11032672    
           5   1.0000000      7.40735605E-02  0.12359428    
           6   1.2000000      9.59215537E-02  9.51756686E-02
           7   1.4000001      0.11227481      6.87121153E-02
           8   1.6000001      0.12355971      4.45392728E-02
           9   1.8000002      0.13025925      2.28890870E-02
          10   2.0000002      0.13289322      3.89965903E-03
          11   2.2000003      0.13200058     -1.23741385E-02
          12   2.4000003      0.12812382     -2.59496570E-02
          13   2.6000004      0.12179568     -3.69053781E-02
          14   2.8000004      0.11352799     -4.53700237E-02
          15   3.0000005      0.10380270     -5.15120886E-02
          16   3.2000005      9.30649117E-02 -5.55299856E-02
          17   3.4000006      8.17177966E-02 -5.76429367E-02
          18   3.6000006      7.01193288E-02 -5.80827184E-02
          19   3.8000007      5.85804656E-02 -5.70863336E-02
          20   4.0000005      4.73647937E-02 -5.48896492E-02
          21   4.2000003      3.66892889E-02 -5.17219901E-02
          22   4.4000001      2.67261006E-02 -4.78016995E-02
          23   4.5999999      1.76051073E-02 -4.33326028E-02
          24   4.7999997      9.41710174E-03 -3.85013483E-02
          25   4.9999995      2.21742922E-03 -3.34755294E-02
          26   5.1999993     -3.97008006E-03 -2.84025557E-02
          27   5.3999991     -9.14901309E-03 -2.34091580E-02
          28   5.5999990     -1.33462362E-02 -1.86014473E-02
          29   5.7999988     -1.66078173E-02 -1.40654622E-02
          30   5.9999986     -1.89951006E-02 -9.86810680E-03
          31   6.1999984     -2.05809996E-02 -6.05839910E-03
          32   6.3999982     -2.14465652E-02 -2.66895769E-03
          33   6.5999980     -2.16778684E-02  2.82342517E-04
          34   6.7999978     -2.13632304E-02  2.79061217E-03
          35   6.9999976     -2.05907971E-02  4.86214366E-03
          36   7.1999974     -1.94464903E-02  6.51260931E-03
          37   7.3999972     -1.80123076E-02  7.76530337E-03
          38   7.5999970     -1.63649656E-02  8.64946656E-03
          39   7.7999969     -1.45748686E-02  9.19871591E-03
          40   7.9999967     -1.27053820E-02  9.44960490E-03
          41   8.1999969     -1.08123766E-02  9.44032427E-03
          42   8.3999968     -8.94401781E-03  9.20956116E-03
          43   8.5999966     -7.14076636E-03  8.79551005E-03
          44   8.7999964     -5.43556549E-03  8.23504571E-03
          45   8.9999962     -3.85417137E-03  7.56304618E-03
          46   9.1999960     -2.41561048E-03  6.81186654E-03
          47   9.3999958     -1.13272376E-03  6.01094728E-03
          48   9.5999956     -1.27786961E-05  5.18654939E-03
          49   9.7999954      9.41878301E-04  4.36160574E-03
          50   9.9999952      1.73314963E-03  3.55567108E-03
          51   10.199995      2.36651325E-03  2.78496044E-03
          52   10.399995      2.85036513E-03  2.06245971E-03
          53   10.599995      3.19538941E-03  1.39809656E-03
          54   10.799994      3.41396732E-03  7.98958528E-04
          55   10.999994      3.51963472E-03  2.69545417E-04
          56   11.199994      3.52659170E-03 -1.87954254E-04
          57   11.399994      3.44926887E-03 -5.73373225E-04
          58   11.599994      3.30195273E-03 -8.88270501E-04
          59   11.799994      3.09846969E-03 -1.13563938E-03
          60   11.999993      2.85192812E-03 -1.31962483E-03
          61   12.199993      2.57451436E-03 -1.44525501E-03
          62   12.399993      2.27734190E-03 -1.51819247E-03
          63   12.599993      1.97034725E-03 -1.54450617E-03
          64   12.799993      1.66223000E-03 -1.53046846E-03
          65   12.999992      1.36042980E-03 -1.48237706E-03
          66   13.199992      1.07113703E-03 -1.40640209E-03
          67   13.399992      7.99331698E-04 -1.30845990E-03
          68   13.599992      5.48844633E-04 -1.19411061E-03
          69   13.799992      3.22436972E-04 -1.06847938E-03
          70   13.999991      1.21893216E-04 -9.36200144E-04
          71   14.199991     -5.18765883E-05 -8.01378454E-04
          72   14.399991     -1.98728972E-04 -6.67572953E-04
          73   14.599991     -3.19177110E-04 -5.37792104E-04
          74   14.799991     -4.14281647E-04 -4.14504553E-04
          75   14.999990     -4.85544646E-04 -2.99660605E-04
          76   15.199990     -5.34808903E-04 -1.94722947E-04
          77   15.399990     -5.64164133E-04 -1.00704106E-04
          78   15.599990     -5.75860962E-04 -1.82091553E-05
          79   15.799990     -5.72234159E-04  5.25183423E-05
          80   15.999990     -5.55635022E-04  1.11548623E-04
          81   16.199989     -5.28373464E-04  1.59217670E-04
          82   16.399990     -4.92669526E-04  1.96079985E-04
          83   16.599991     -4.50614287E-04  2.22863222E-04
          84   16.799992     -4.04139602E-04  2.40425346E-04
          85   16.999992     -3.54996038E-04  2.49715173E-04
          86   17.199993     -3.04738322E-04  2.51736492E-04
          87   17.399994     -2.54717597E-04  2.47516262E-04
          88   17.599995     -2.06079654E-04  2.38076973E-04
          89   17.799995     -1.59768228E-04  2.24413117E-04
          90   17.999996     -1.16532588E-04  2.07471880E-04
          91   18.199997     -7.69386170E-05  1.88137768E-04
          92   18.399998     -4.13825546E-05  1.67220991E-04
          93   18.599998     -1.01067390E-05  1.45449332E-04
          94   18.799999      1.67833696E-05  1.23463149E-04
          95   19.000000      3.93014343E-05  1.01813181E-04
          96   19.200001      5.75623053E-05  8.09608027E-05
          97   19.400002      7.17643561E-05  6.12803415E-05
          98   19.600002      8.21724389E-05  4.30631080E-05
          99   19.800003      8.91018135E-05  2.65228118E-05
         100   20.000004      9.29032394E-05  1.18019680E-05
