  4.99999709E-02   158.17091       141.76907       7.9085410888004049        7.0884495548949644     
  0.10000002       166.82457       133.93311       16.682460947622531        13.393313740089070     
  0.15000013       176.04694       126.43496       26.407062441025118        18.965259737575934     
  0.20000023       185.94028       119.22604       37.188097534957706        23.845235744653110     
  0.25000033       196.62682       112.26477       49.156768408267908        28.066229430212843     
  0.29999968       208.25426       105.51572       62.476211372163107        31.654681632918255     
  0.34999904       221.00246       98.948685       77.350647751119595        34.631944687734631     
  0.39999840       235.09331       92.538071       94.036946057678961        37.015079899185821     
  0.44999775       250.80371       86.262260       112.86110634208308        38.817823357151838     
  0.49999711       268.48419       80.103264       134.24131980637867        40.051400362950744     
  0.54999650       288.58578       74.046249       158.72117027973218        40.725177650483602     
  0.59999585       311.69891       68.079330       187.01805506680103        40.847315840637748     
  0.64999521       338.61301       62.193352       220.09683157886684        40.425380590827444     
  0.69999456       370.40833       56.381653       259.28381411795272        39.466850494936807     
  0.74999392       408.60483       50.639965       306.45113672659136        37.979665918562659     
  0.79999328       455.41306       44.966438       364.32738241001061        35.972848307237655     
  0.84999263       514.17816       39.361675       437.04764935846470        33.457133990343664     
  0.89999199       590.21667       33.828983       531.19027917855419        30.445813976803038     
  0.94999135       692.52429       28.374886       657.89208387570397        26.955895708001663     
  0.99999070       837.62744       23.010063       837.61965287441853        23.009849216350631     
